Accident_Index,Age_Band_of_Driver,Age_of_Vehicle,Driver_Home_Area_Type,Driver_IMD_Decile,Engine_Capacity_.CC.,Hit_Object_in_Carriageway,Hit_Object_off_Carriageway,Journey_Purpose_of_Driver,Junction_Location,make,model,Propulsion_Code,Sex_of_Driver,Skidding_and_Overturning,Towing_and_Articulation,Vehicle_Leaving_Carriageway,Vehicle_Location.Restricted_Lane,Vehicle_Manoeuvre,Vehicle_Reference,Vehicle_Type,Was_Vehicle_Left_Hand_Drive,X1st_Point_of_Impact,Year
200401BS00004,26 - 35,1.0,Urban area,4.0,124.0,,,Data missing or out of range,Data missing or out of range,PIAGGIO,VESPA ET4,Petrol,Male,,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,1,Motorcycle 125cc and under,Data missing or out of range,Front,2004
200401BS00009,26 - 35,,Urban area,4.0,,,,Data missing or out of range,Data missing or out of range,PIAGGIO,VESPA GT 125,,Male,Skidded,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,1,Motorcycle 125cc and under,Data missing or out of range,Did not impact,2004
200401BS00022,36 - 45,11.0,Data missing or out of range,,1998.0,,,Data missing or out of range,Data missing or out of range,VAUXHALL,CAVALIER LS AUTO,Petrol,Male,,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,1,109,Data missing or out of range,Front,2004
200401BS00080,Data missing or out of range,13.0,Data missing or out of range,,1984.0,,,Data missing or out of range,Data missing or out of range,VOLKSWAGEN,PASSAT GL INJ AUTO,Petrol,Male,,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,2,109,Data missing or out of range,Front,2004
200401BS00146,26 - 35,12.0,Data missing or out of range,,998.0,,,Data missing or out of range,Data missing or out of range,NISSAN,,Petrol,Female,,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,1,109,Data missing or out of range,Offside,2004
200401BS00201,26 - 35,,Urban area,7.0,,,,Data missing or out of range,Data missing or out of range,PIAGGIO,,,Male,,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,1,Motorcycle 50cc and under,Data missing or out of range,Nearside,2004
200401BS00250,36 - 45,2.0,Urban area,4.0,2171.0,,,Data missing or out of range,Data missing or out of range,VAUXHALL,VECTRA ELEGANCE DTI 16V,Heavy oil,Male,,No tow/articulation,Did not leave carriageway,0.0,Waiting to go - held up,2,109,Data missing or out of range,Back,2004
200401BS00251,26 - 35,1.0,Urban area,6.0,1984.0,,,Data missing or out of range,Data missing or out of range,AUDI,A4 SPORT AUTO,Petrol,Male,,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,3,109,Data missing or out of range,Front,2004
200401BS00286,Data missing or out of range,4.0,Data missing or out of range,,,,,Data missing or out of range,Data missing or out of range,DENNIS,,Heavy oil,Male,,No tow/articulation,Did not leave carriageway,0.0,Slowing or stopping,2,Bus or coach (17 or more pass seats),Data missing or out of range,Front,2004
200401BS00340,26 - 35,2.0,Urban area,3.0,8268.0,,,Data missing or out of range,Data missing or out of range,DENNIS,,Heavy oil,Male,,No tow/articulation,Did not leave carriageway,0.0,Moving off,1,Bus or coach (17 or more pass seats),Data missing or out of range,Front,2004
200401BS00446,46 - 55,,Urban area,10.0,4398.0,,,Data missing or out of range,Data missing or out of range,LAND ROVER,RANGE ROVER VOGUE V8 AUTO,Petrol,Male,,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,2,109,Data missing or out of range,Front,2004
200401BS00484,36 - 45,21.0,Urban area,3.0,1593.0,,,Data missing or out of range,Data missing or out of range,FORD,CAPRI LS 4SPD,Petrol,Male,,No tow/articulation,Did not leave carriageway,0.0,Slowing or stopping,1,109,Data missing or out of range,Back,2004
200401BS00586,26 - 35,3.0,Urban area,4.0,8268.0,,,Data missing or out of range,Data missing or out of range,DENNIS,,Heavy oil,Male,,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,1,Bus or coach (17 or more pass seats),Data missing or out of range,Did not impact,2004
